observation,score
Dense and dry terrain.,4
The soil is acceptable firmness and partially settled.,3
Foundations would sit on collapsing and no bearing capacity earth.,1
Observation: very hard and undisturbed.,5
Sinking ground.,1
Excavation reveals slightly moist layers.,3
Foundations would sit on typical silt and fair condition earth.,3
Site consists of compressible and unconsolidated material.,2
Observation: resistant to penetration and hard clay.,4
Observation: moderate stiffness.,3
Site consists of compacted gravel and good bearing material.,4
Excavation reveals compacted gravel layers.,4
Site consists of very hard material.,5
Highly compacted sand with no moisture,3
The soil is cemented.,5
Dry soil conditions observed.,4
Site consists of shifts underfoot material.,2
Testing indicates dense and resistant to penetration subsurface.,4
Excavation reveals sinking layers.,1
Testing indicates soft subsurface.,2
Slightly moist terrain.,3
Medium dense and moderately compacted ground.,3
Site consists of soft and compressible material.,2
Foundations would sit on zero resistance and very soft earth.,1
Lightly consolidated and needs deep reinforcement soil conditions observed.,2
Excavation reveals solid footing layers.,4
Ground appears liquefied and sludge and liquefied and sludge.,1
"Loose sandy soil, unstable",2
Hard clay with good firmness,4
Dry soil conditions observed.,4
Foundations would sit on compressible earth.,2
Soft and compressible terrain.,2
Observation: compacted gravel and compacted gravel.,4
Observation: firm.,4
Very hard and very hard terrain.,5
Zero resistance and sinking terrain.,1
Site consists of impenetrable material.,5
Average consistency ground.,3
Poorly compacted soil conditions observed.,2
Site consists of waterlogged and zero resistance material.,1
Compressible and unconsolidated ground.,2
Foundations would sit on shifts underfoot earth.,2
Observation: average consistency.,3
Foundations would sit on weak earth.,2
Ground appears spongy and weak and spongy and weak.,2
Excellent stability and rock-like soil conditions observed.,5
Swampy terrain.,1
Site consists of medium dense material.,3
Ground appears poorly compacted and poorly compacted.,2
"Average silty soil, some weak spots",1
Needs deep reinforcement soil conditions observed.,2
Excavation reveals lightly consolidated and loose layers.,2
Unconsolidated and shifts underfoot ground.,2
Testing indicates compacted gravel subsurface.,4
Site consists of waterlogged material.,1
Partially settled and average consistency terrain.,3
Spongy and shifts underfoot ground.,2
The soil is very hard and maximum compaction.,5
Site consists of acceptable firmness material.,3
Fair condition soil conditions observed.,3
Testing indicates spongy subsurface.,2
Dry and compacted gravel soil conditions observed.,4
Excavation reveals needs deep reinforcement layers.,2
Observation: medium dense.,3
Testing indicates bedrock exposed subsurface.,5
"Dense clay, slightly wet but strong",2
Site consists of liquefied and fluid-like material.,1
The soil is dense.,4
Hard clay and good bearing terrain.,4
Testing indicates good bearing subsurface.,4
Testing indicates partially settled subsurface.,3
Site consists of acceptable firmness material.,3
The soil is unconsolidated.,2
Testing indicates solid footing and good bearing subsurface.,4
Solid footing and resistant to penetration soil conditions observed.,4
Foundations would sit on stable enough and moderate stiffness earth.,3
Foundations would sit on moderately compacted and moderately compacted earth.,3
Liquefied terrain.,1
Excavation reveals moderately compacted layers.,3
Soft clay with water patches,2
Acceptable firmness ground.,3
Foundations would sit on unconsolidated earth.,2
The soil is unconsolidated.,2
Moderately compacted ground.,3
Marshy and swampy ground.,1
Ground appears acceptable firmness and stable enough and acceptable firmness and stable enough.,3
Site consists of excellent stability and undisturbed material.,5
Foundations would sit on impenetrable and rock-like earth.,5
Ground appears fair condition and fair condition and fair condition and fair condition.,3
Foundations would sit on partially settled earth.,3
Testing indicates highly consolidated and very hard subsurface.,5
Testing indicates lightly consolidated subsurface.,2
High strength soil conditions observed.,4
Testing indicates compacted gravel subsurface.,4
Foundations would sit on high strength earth.,4
"Loose sandy soil, weak support",1
Foundations would sit on very soft earth.,1
Ground appears average consistency and average consistency.,3
Excellent stability ground.,5
Weak muddy soil with low support,1
Ground appears sinking and sinking.,1
Foundations would sit on very hard and excellent stability earth.,5
Site consists of typical silt material.,3
Testing indicates solid footing and resistant to penetration subsurface.,4
Sludge and very soft ground.,1
Ground appears excellent stability and excellent stability and excellent stability and excellent stability.,5
Soft and yielding terrain.,2
Impenetrable terrain.,5
Moderately compacted soil conditions observed.,3
Excavation reveals acceptable firmness and moderately compacted layers.,3
