soil_type,moisture_content,bulk_density,grain_size,foundation_depth,field_observation_score,bearing_capacity,safety_class
Sand,28.35,16.97,Fine,1.72,3,237.45,Safe
Sand,28.42,14.61,Coarse,1.98,4,231.42,Safe
Gravel,6.18,20.01,Coarse,2.05,3,400.0,Safe
Silt,9.35,14.2,Fine,1.27,4,131.96,Moderate
Sand,30.75,19.53,Medium,1.6,5,235.48,Safe
Silt,11.08,20.68,Coarse,1.92,3,313.32,Safe
Clay,12.05,17.54,Medium,1.6,2,121.13,Moderate
Gravel,10.8,21.44,Medium,0.64,4,333.79,Safe
Clay,39.7,17.41,Fine,2.14,4,72.92,Unsafe
Silt,31.51,20.77,Coarse,0.62,4,231.2,Safe
Sand,29.18,18.4,Coarse,2.33,2,289.98,Safe
Clay,28.11,18.57,Medium,2.77,3,139.42,Moderate
Silt,30.0,19.4,Coarse,2.32,2,218.19,Safe
Sand,30.98,18.12,Fine,1.28,2,196.29,Moderate
Silt,5.63,16.62,Fine,2.28,1,185.84,Moderate
Sand,7.24,19.08,Fine,1.02,5,222.28,Safe
Sand,36.56,18.61,Medium,1.33,5,216.24,Safe
Silt,24.78,15.99,Fine,1.26,4,131.2,Moderate
Silt,17.88,16.22,Fine,1.21,4,134.55,Moderate
Sand,16.12,16.87,Fine,1.37,5,238.91,Safe
Sand,36.6,14.65,Coarse,0.68,5,206.19,Safe
Sand,26.48,20.61,Fine,0.74,3,200.03,Safe
Clay,39.42,16.6,Medium,1.71,1,50.0,Unsafe
Gravel,27.26,18.46,Fine,0.6,3,261.81,Safe
Clay,28.58,19.65,Medium,1.15,1,90.44,Unsafe
Sand,14.82,16.73,Medium,2.8,5,281.15,Safe
Gravel,5.32,16.42,Fine,2.79,1,332.9,Safe
Sand,22.0,18.35,Coarse,1.66,5,325.09,Safe
Silt,34.15,18.36,Medium,1.16,2,174.18,Moderate
Sand,29.77,14.44,Fine,2.64,4,241.51,Safe
Clay,24.65,21.74,Medium,2.26,1,172.62,Moderate
Sand,12.15,21.46,Fine,2.51,4,254.04,Safe
Clay,27.14,19.42,Medium,2.66,4,144.09,Moderate
Silt,21.53,17.22,Fine,2.61,5,229.3,Safe
Sand,7.37,21.77,Fine,1.47,1,259.51,Safe
Sand,12.32,19.16,Fine,1.48,3,252.87,Safe
Clay,27.6,17.54,Coarse,1.71,5,133.81,Moderate
